,symbol,mean_abnormal_return,std_dev,t_statistic,p_value,significant,sample_size
9,ADAUSDT,1.4964399935668498,2.7859040392478405,2.278921711981634,0.03509142482053342,True,19
2,XRPUSDT,0.9099000184733518,1.893387407182414,2.038874255179681,0.0564251498728907,False,19
69,RAREUSDT,0.9030072857165488,2.2410613700569844,1.7095183123203643,0.10453808195533536,False,19
49,RAYUSDT,0.8380194772200691,1.6461368609379439,2.159854150053159,0.04452069187950043,True,19
4,SOLUSDT,0.8096296021976649,1.956285072579498,1.755862445574341,0.09611353437153408,False,19
23,ENAUSDT,0.8017248534931168,1.9195709955119606,1.7719743063722757,0.09332586512859294,False,19
80,NEIROUSDT,0.7988261615549027,1.951298430413683,1.736860093834875,0.09949393446657094,False,19
77,ALGOUSDT,0.7781636840215436,1.789824843735704,1.8445765341918283,0.08162074610797845,False,19
10,TRUMPUSDT,0.7707131423183684,2.0597523483728186,1.5875010111194279,0.12980969807914253,False,19
7,DOGEUSDT,0.7626394633933845,1.9373874183234614,1.6700868326044755,0.11219949307241739,False,19
32,RUNEUSDT,0.7512857233485347,1.7594717793798509,1.8115865311882355,0.08676961405778764,False,19
92,JTOUSDT,0.7196887304002386,1.6364618553103751,1.8658428729939218,0.07844586379253846,False,19
8,BNXUSDT,0.7154552513025056,1.0810090479749788,2.807950187535731,0.011636715559157771,True,19
82,NOTUSDT,0.7129073029115193,1.7813134135301112,1.6979659539434309,0.10673465124813651,False,19
17,LTCUSDT,0.7094214813322929,1.6359343950224283,1.839817324077691,0.08234655413507612,False,19
73,JUPUSDT,0.701736396486105,1.878759550797291,1.5846707930777921,0.1304523951185225,False,19
79,GALAUSDT,0.6818696213926956,1.954589899317257,1.4800689392909374,0.15614535006442773,False,19
12,SUIUSDT,0.6582946690312985,2.0697867362401365,1.349369815761481,0.19394741920995945,False,19
51,AIXBTUSDT,0.6282607747568227,2.2098081179897857,1.2062064137627995,0.24335348581409558,False,19
43,TIAUSDT,0.6111458267151285,1.8177645653514358,1.42640702740482,0.17086579540002375,False,19
34,PNUTUSDT,0.6109982619130516,2.0135017300015723,1.2874317648336235,0.21425212583861025,False,19
37,TSTUSDT,0.6090118664015822,1.8724353115614423,1.3799240525853655,0.18451083921834943,False,19
57,CKBUSDT,0.5965428725502765,1.7294842081629314,1.463394144188904,0.160603760813389,False,19
70,ETCUSDT,0.5950242317069064,1.5477729678621586,1.6310363778665236,0.12025515576026881,False,19
26,AAVEUSDT,0.5942600197925603,1.8316168235398569,1.376506104496023,0.18554781830320838,False,19
30,VIDTUSDT,0.5848551831633418,1.9114564733691006,1.2981359663334866,0.21062849526601532,False,19
54,PENGUUSDT,0.5809148942315318,1.7064442126586221,1.444297532692529,0.16583731640636282,False,19
76,EIGENUSDT,0.5808727656142756,2.3658872960516844,1.0416533507523396,0.3113620454383482,False,19
27,XLMUSDT,0.5779909908554224,1.5863207261075598,1.5458463438277832,0.13954211280907522,False,19
88,SOLVUSDT,0.5768838890645093,2.0178177289851975,1.2129495267739565,0.24082796278286517,False,19
78,SANDUSDT,0.5550291342639291,1.7363932163570472,1.3561382095842816,0.1918245050381157,False,19
90,ICPUSDT,0.5490930832088247,1.6264654890084969,1.4323111505167414,0.1691927936558517,False,19
35,DOTUSDT,0.5454592210674406,1.6145793101545365,1.4333067876632324,0.16891198573055244,False,19
25,EOSUSDT,0.5371820143613301,1.5596095654738404,1.46130821519144,0.16116876024314164,False,19
52,FILUSDT,0.5365548832921462,1.739036720326054,1.3090060446227911,0.20699811233436938,False,19
63,INJUSDT,0.5252505331453634,1.8450137530194037,1.207822586258076,0.24274634200805267,False,19
20,NEARUSDT,0.5132548547159113,1.7762806817987702,1.2259075673074913,0.23603104166201722,False,19
67,VETUSDT,0.5108158825372786,1.6293199209142277,1.330130577218599,0.20008406328876974,False,19
6,PEPEUSDT,0.5025122271785034,1.9982022407058606,1.0669484686641784,0.3000971258139971,False,19
87,ATOMUSDT,0.486848927319292,1.4809518430418394,1.3947280441494097,0.18007305418753086,False,19
93,LINAUSDT,0.4801339632364603,1.9198960685054902,1.0610136252221907,0.3027133440193035,False,19
45,APTUSDT,0.4789706437461782,1.6056299267902627,1.2656094079882563,0.22179035212095416,False,19
55,ENSUSDT,0.47085660970787674,2.0868908932893864,0.9572495699556768,0.3511227739599123,False,19
21,HBARUSDT,0.4658238213733977,1.9696112437296989,1.0034077048858407,0.32896330075545277,False,19
33,TAOUSDT,0.45569755597574035,1.8464540608472615,1.0470669338593535,0.30892603040468225,False,19
13,CAKEUSDT,0.4524273582734656,1.1784425977845074,1.6288334466061969,0.12072388780884925,False,19
96,RSRUSDT,0.44988407247642465,1.9462794964791397,0.9806898103937653,0.33974409277760154,False,19
29,OMUSDT,0.44739516502567744,1.1795567133615097,1.6091951398835764,0.12497136468100753,False,19
61,RENDERUSDT,0.43664904116151587,1.8180535309990822,1.0189716399634472,0.3217176576398938,False,19
14,LINKUSDT,0.4351752586868193,1.8520258448407558,0.9969041542674103,0.3320247266837004,False,19
66,LAYERUSDT,0.4329276112229289,1.8644557492835427,0.9851434117744928,0.33761146698931754,False,19
64,ETHFIUSDT,0.42990126812956453,2.3433337154939315,0.7783426660705984,0.4464785955895416,False,19
60,PENDLEUSDT,0.4284293554382926,1.8368311197906508,0.9895693705069389,0.3355013418566417,False,19
19,AUCTIONUSDT,0.42138902755767493,1.4776709478663426,1.2098784482453875,0.2419756916526552,False,19
59,BCHUSDT,0.41490018586052635,1.3601756060045884,1.2941508448279615,0.2119718974496313,False,19
44,SHIBUSDT,0.4143784471421076,1.5361846647247253,1.1444319814411419,0.26743528105010583,False,19
48,SEIUSDT,0.40882147116995937,1.5246024887790772,1.1376621907147948,0.27017910459353134,False,19
18,AVAXUSDT,0.4075427870043184,1.6522910378525646,1.0464606841502428,0.30919815040425214,False,19
71,VANAUSDT,0.4048869380978686,1.8391410118223106,0.9340174495674449,0.3626563260363149,False,19
50,WLDUSDT,0.3928449544435065,1.7140579241874148,0.9723708656121856,0.34375271046636835,False,19
24,UNIUSDT,0.38924505552750316,1.779259055669346,0.9281542811761798,0.36560734947674245,False,19
56,ZROUSDT,0.38696459160003,1.7455253446716303,0.9405487727854405,0.35938811401931325,False,19
38,ARBUSDT,0.38438638348916526,1.932520437776034,0.8438789460061427,0.4098124777299633,False,19
86,POLUSDT,0.3784207517890571,1.6375032411338133,0.9804580766990515,0.33985531542160685,False,19
85,THEUSDT,0.3743944589084394,1.9535588844690128,0.8130910089401759,0.42679045261662063,False,19
22,WIFUSDT,0.36985679667847754,1.8551568432643901,0.8458419565402112,0.4087449326109708,False,19
47,API3USDT,0.3673203995904183,1.8360721047830613,0.848773023919643,0.4071542754675649,False,19
5,BNBUSDT,0.3594613736916771,0.9415624748727257,1.619717745950153,0.12268000997824784,False,19
95,APEUSDT,0.34931294353899883,1.9013995852567835,0.7794307510568922,0.44585369362746685,False,19
74,BERAUSDT,0.33837594913939467,1.4395554583560015,0.9972575638043787,0.331857854000004,False,19
53,FLOKIUSDT,0.33334442890696814,1.7654666823120777,0.8010690040624903,0.43353918903218314,False,19
31,BONKUSDT,0.3327251951662449,1.8904576082187183,0.7467152103834401,0.4648779124387392,False,19
91,DYDXUSDT,0.3271568694403248,1.8250713506367608,0.7605231679702946,0.4567893290304955,False,19
40,LDOUSDT,0.3181024552135618,2.3784827478512236,0.567418208259384,0.5774391594944704,False,19
39,CRVUSDT,0.31487990494676205,1.893798172632374,0.7054195719422718,0.4895783331674428,False,19
83,ORDIUSDT,0.31240228117564994,1.916106881991488,0.691720613981167,0.49793882185558136,False,19
41,OPUSDT,0.30526310600014617,1.7562295471442486,0.7374444165904083,0.4703568637142057,False,19
68,ARKMUSDT,0.2869791375201357,2.0363785444367206,0.5978993289453031,0.5573555775603902,False,19
28,TONUSDT,0.2780818586632612,1.4864155340845846,0.793722469162092,0.4376960654330133,False,19
75,SUNUSDT,0.27504075936053596,1.0456336450916028,1.1159731917166533,0.27911065550584985,False,19
81,BEAMXUSDT,0.25287841367763625,1.7465845132016586,0.6142687277103143,0.546724167608411,False,19
58,KAITOUSDT,0.18332869257553272,1.6920449294302735,0.4596791472311729,0.6512500563239324,False,19
42,FETUSDT,0.18206713428932977,1.8428403758038168,0.4191602495067936,0.6800586609967268,False,19
62,GMTUSDT,0.17627000791943354,1.662094203873372,0.4499445974692798,0.6581220537078484,False,19
72,MKRUSDT,0.16820501624142944,1.632727292490082,0.43708061288978767,0.6672514564370988,False,19
15,SUSDT,0.15203314719965652,1.4277952023976874,0.4517608793031919,0.656837464460899,False,19
0,BTCUSDT,0.1285648874634168,1.0220732455226915,0.5336746900250353,0.6000956157713889,False,19
84,CFXUSDT,0.10536961558496331,1.8113001593732776,0.24680913097339122,0.8078488589286132,False,19
11,TRXUSDT,0.06955200343809914,0.5079071498721729,0.5809805192374332,0.5684575402798295,False,19
65,DYMUSDT,0.030768449476553977,1.7599892996129143,0.07417060754716653,0.9416926901211919,False,19
94,PAXGUSDT,0.015125270308122128,0.18761850615496684,0.3420296245185586,0.7362896098798606,False,19
46,BANANAUSDT,0.010380176872821521,2.040944231734264,0.021577934396916562,0.98302203707645,False,19
3,FDUSDUSDT,0.005801868493992527,0.024178034545648854,1.0180828920338363,0.3221283405521201,False,19
1,USDCUSDT,0.005262527504350756,0.011408749974927374,1.9570078541566913,0.06603969638494993,False,19
16,EURUSDT,0.0007147352730324227,0.02938776867636134,0.10318459299449342,0.9189573899390082,False,19
89,SHELLUSDT,-0.16312013151622418,1.969229547984338,-0.3099382931989558,0.7611733999938002,False,15
36,REDUSDT,-0.7390156138579287,2.716921315586742,-0.9021378320084318,0.3863113747311612,False,12
